#r (sol units), density (sol units)
12.757762797996056,1.6280002463408123e-09
13.198139670509478,1.6029470736038823e-09
13.653717624350033,1.841874922269746e-09
14.125021375705021,2.9967038463491877e-09
14.612593753096712,3.6890926163361944e-09
15.11699632259022,3.34783475144037e-09
15.638810034582479,2.979213322068456e-09
16.178635892917352,2.6943038749107084e-09
16.73709564709741,2.4052455235960482e-09
17.314832508389767,2.1907699481611467e-09
17.912511890650748,2.008331735672849e-09
18.53082217672248,1.8317605119256575e-09
19.170475511284337,1.7832246666549028e-09
19.832208621072255,1.6676903392062066e-09
20.516783663410653,1.567807893023006e-09
21.22498910403434,1.4633806433870694e-09
21.957640625211255,1.4028747310909655e-09
22.71558206521223,1.2889413286353102e-09
23.49968639020967,1.2307269842649982e-09
24.310856699724464,1.1789304625182517e-09
25.150027266779393,1.1300396813574408e-09
26.018164613956838,1.094457033805661e-09
26.916268626600296,1.0344716741171174e-09
27.845373704441627,9.906654492942413e-10
28.806549952980706,9.576969365602388e-10
29.80090441598953,9.184118696997011e-10
30.829582350560184,8.944098814696544e-10
31.893768546165514,8.569161408619552e-10
32.99468868925152,8.279263959866768e-10
34.13361077493325,7.85911622009838e-10
35.311846567420055,7.639281895947778e-10
36.53075311085232,7.323661801316368e-10
37.79173429228987,6.893250427098595e-10
39.09624245865199,6.663722399807914e-10
40.44578008947172,6.426977313938549e-10
41.841901527390675,6.212940619831502e-10
43.28621476838782,5.992530395304777e-10
44.780383313804045,5.881349342480932e-10
46.32612808629523,5.636546237826987e-10
47.92522941192133,5.324910652055086e-10
49.57952907065345,5.102314604530178e-10
51.290932417661296,4.835734039172978e-10
53.0614105778239,4.574332357613278e-10
54.89300271599116,4.3047301053717195e-10
56.78781838561123,4.103688240682254e-10
58.74803995842832,3.9090867275581194e-10
60.7759251380501,3.712386748041538e-10
62.873809560278765,3.477862537835906e-10
65.04410948320171,3.301113525352865e-10
67.28932457013939,3.1266306772858247e-10
69.61204076865603,2.9599538091300536e-10
72.01493328894904,2.734799382505819e-10
74.50076968504754,2.580336414434634e-10
77.07241304236854,2.42507140502323e-10
79.73282527530269,2.2743221967925834e-10
82.48507053862677,2.1659381090387679e-10
85.33231875667289,2.0561298419014576e-10
88.27784927431857,1.9515631739689774e-10
91.3250546340029,1.8559222761400177e-10
94.47744448311946,1.7761512038553622e-10
97.73864961628522,1.6795925122456369e-10
101.1124261571428,1.5943534771739061e-10
104.60265988451083,1.4993499711561884e-10
108.21337070786629,1.4059187306958348e-10
111.94871729731308,1.3347764897982255e-10
115.81300187336917,1.2775602159554246e-10
119.81067516209013,1.1950785379760433e-10
123.94634152123336,1.1412957825534887e-10
128.224764243372,1.0806844112065218e-10
132.6508710420606,1.0188141830986114e-10
137.22975972737615,9.613855202530292e-11
141.96670407736852,9.077446045602376e-11
146.86715991218372,8.473020549067454e-11
151.9367713778568,7.897548761115832e-11
157.18137744700826,7.486538302720149e-11
162.607018643938,6.977086960341534e-11
168.21994400185397,6.585054116420771e-11
174.02661826025576,6.157071917828749e-11
180.0337293107588,5.766450843891543e-11
186.24819589993623,5.384173340376337e-11
192.67717559805124,5.098804044314217e-11
199.3280730428536,4.6937671324751174e-11
206.20854846794376,4.394169675727548e-11
213.32652652551562,4.124479038907792e-11
220.69020541365222,3.802186737236297e-11
228.30806631867503,3.5530060173789323e-11
236.18888318343087,3.263580282358988e-11
244.34173281276387,3.064464431783548e-11
252.7760053278081,2.816313206010774e-11
261.5014149811514,2.6093197488312543e-11
270.5280113453133,2.3917176027995163e-11
279.8661908874378,2.220244561935172e-11
289.52670894351996,2.0076214820916247e-11
299.52069210596585,1.858384655227035e-11
309.85965103874986,1.690450289348148e-11
320.5554937349297,1.5729574633877266e-11
331.6205392317908,1.4313591449680467e-11
343.0675317994097,1.2964175593790348e-11
354.90965561899145,1.2110906048161742e-11
367.16054996787034,1.1013882708603512e-11
