#r (sol units), density (sol units)
12.757762797996056,1.4164036346168903e-11
13.025836475336375,8.03380556502814e-12
13.299543075754237,7.896767925608883e-12
13.579000961569719,8.676333836480131e-12
13.864330982202128,1.1494694675802818e-11
14.155656526430464,1.401727793971241e-11
14.45310357575189,1.2156592590068474e-11
14.756800758861525,1.059872786399904e-11
15.066879407276877,1.091229019397064e-11
15.383473612131215,9.53915840299949e-12
15.706720282160182,9.212872842559422e-12
16.036759202906993,1.1382053088178219e-11
16.37373309717156,9.520822771524651e-12
16.717787686729935,9.366638180638843e-12
17.069071755350507,9.34205412939649e-12
17.427737213134478,8.984080890912558e-12
17.793939162208133,1.0152489786234585e-11
18.167835963795657,9.568994839489401e-12
18.549589306701144,8.802275759337728e-12
18.93936427722976,8.539629320970566e-12
19.337329430577988,9.077114299222834e-12
19.743656863724052,9.370935370698816e-12
20.158522289849948,7.827162381508657e-12
20.582105114327266,8.333704353286244e-12
21.014588512299625,8.31699316769978e-12
21.45615950789538,9.288534045489922e-12
21.90700905510482,1.0867211376161021e-11
22.367332120356657,1.1398943547578369e-11
22.83732776682988,1.1385619643343815e-11
23.317199240536986,1.0608882866853226e-11
23.807154058216263,1.1534554498198506e-11
24.30740409707071,9.735185335628585e-12
24.81816568639281,1.0320760708405405e-11
25.33965970111438,1.0800500288881145e-11
25.872111657322325,1.1584284892130802e-11
26.415751809781263,1.320173783556934e-11
26.970815251505506,1.5577615579266097e-11
27.53754201542315,1.685273576186695e-11
28.116177178176567,1.4809250300477557e-11
28.706970966103825,1.4077744587530003e-11
29.310178863447234,1.466594492676048e-11
29.926061722835474,1.7076014903616502e-11
30.554885878087344,1.5391718956177698e-11
31.196923259385812,1.7801496702551853e-11
31.852451510872108,2.059692282671746e-11
32.52175411071076,2.0489518802876364e-11
33.20512049367761,2.073577573856398e-11
33.90284617632366,2.1589223593030545e-11
34.61523288476896,2.3206954811821693e-11
35.34258868518163,2.1903691107527855e-11
36.085228116998856,2.2601426608248452e-11
36.843472328947016,2.0629959234075563e-11
37.61764921791992,2.0525735098386535e-11
38.408093570775414,2.3262774272793275e-11
39.215147209111265,2.184404363171606e-11
40.03915913708344,2.055617722249483e-11
40.88048569233008,2.4863978288277776e-11
41.73949070006722,2.6586106685162703e-11
42.61654563042198,2.7924851104248944e-11
43.5120297590721,2.955026076307394e-11
44.42633033126079,2.9357886592803345e-11
45.35984272925799,2.65375753172582e-11
46.312970643340286,2.4087715411549826e-11
47.28612624636374,2.493709741476163e-11
48.279730372004956,2.455654301907568e-11
49.2942126967473,2.6395017712968822e-11
50.330011925691146,2.659823024616419e-11
51.38757598226861,2.763584690257175e-11
52.46736220194461,2.7048253042550357e-11
53.5698375299881,2.5523689199650025e-11
54.69547872339882,2.6370295073922502e-11
55.844772557077356,2.6276465949352527e-11
57.01821603432718,2.6086807149870007e-11
58.21631660177994,2.6282977627720472e-11
59.439592368836735,2.6713431789406415e-11
60.6885723317207,2.7534690558254648e-11
61.96379660223725,2.597902949923978e-11
63.265816641341445,2.570796460486805e-11
64.5951954976129,2.520003636286169e-11
65.95250805074187,2.6894587406629557e-11
67.33834126013153,2.8279671871921386e-11
68.75329441872417,2.7855691333709454e-11
70.19797941216079,2.8002430622900238e-11
71.67302098338625,2.6157651636626254e-11
73.17905700281464,2.458387909945867e-11
74.71673874417154,2.345157614041801e-11
76.28673116613223,2.1221364581429745e-11
77.88971319987795,2.0637115552916367e-11
79.52637804269453,1.9528075023450492e-11
81.1974334577403,1.9580781129550814e-11
82.9036020801128,2.031522957736525e-11
84.6456217293467,1.9672711348287162e-11
86.4242457284782,1.8085850355878853e-11
88.24024322981401,1.7084837491847555e-11
90.0943995475452,1.6638894248426396e-11
91.98751649735021,1.641390544196334e-11
93.92041274313404,1.606030609573192e-11
95.89392415105324,1.5671400282706038e-11
97.90890415097952,1.459811440648989e-11
99.96622410555938,1.3892374522723568e-11
